,sentimen,before,after
0,negatif,"kata @prabowo indonesia tidak dihargai bangsa asing!   berita ini ðÿ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðÿ˜œ  â€¦",kata prabowo indonesia tidak dihargai bangsa asing berita ini ðÿ‘‡ pasti hoax buatan penguasa ya kan rockygerung ðÿ˜œ  â€¦
1,netral,"batuan langka, tasbih jokowi hadiah dari habib luthfi seharga mercy?",batuan langka tasbih jokowi hadiah dari habib luthfi seharga mercy 
2,netral,"di era jokowi, ekonomi indonesia semakin baik. indonesia maju jokowi lagi jokowi menang total debat",di era jokowi ekonomi indonesia semakin baik indonesia maju jokowi lagi jokowi menang total debat
3,positif,"bagi sumatera selatan, asian games berdampak pd ekonomi langsung diprediksi mencapai , triliun. indonesia maju, jokowi hebat!",bagi sumatera selatan asian games berdampak pd ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat 
4,negatif,"negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. penghasilan negara itu ya dari pajak",negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat terus masyarakatnya ngeluh karena negara ngutang setiap negara itu pasti ngutang utang bisa dibayar kalo negara dapet penghasilan penghasilan negara itu ya dari pajak
5,netral,"yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. e-sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian indonesia, bukan hal fundamental. betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi",yg bisikin pak jokowi cm mikirin perputaran duit di golongan tertentu e sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian indonesia bukan hal fundamental betul yg dikatakan prabowo walau dgn bhs yg sederhana tp mrpkan aspek fundamental ekonomi
6,positif,masa tenang msih ngoceh aja..ttp jokowi harga mati...,masa tenang msih ngoceh aja ttp jokowi harga mati 
7,positif,"uasdifitnah keji balas di tps kerjasa ekonomi bilateral, multilateral kita doakan di tps sambil dengarkan suara hati... uasdifitnah keji balas di tps",uasdifitnah keji balas di tps kerjasa ekonomi bilateral multilateral kita doakan di tps sambil dengarkan suara hati uasdifitnah keji balas di tps
8,netral,"iya bener aa, kita mantap kan pilihan ke pemimpin yg bs memberi solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @sbyudhoyono dismash sm mas bowo, percuma koalisi klau mengantam tmn koalisi ðÿ˜‚ & yg plg penting pilih pemimpin yg rajin ibadah wajib, bisa ngaji & jumatanðÿ™ðÿ‘",iya bener aa kita mantap kan pilihan ke pemimpin yg bs memberi solusi jokowi bukan yg menyalahkan pemimpin sebelumnya sbyudhoyono dismash sm mas bowo percuma koalisi klau mengantam tmn koalisi ðÿ˜‚ yg plg penting pilih pemimpin yg rajin ibadah wajib bisa ngaji jumatanðÿ™ðÿ‘
9,negatif,prabowo-sandi sepakat tak ambil gaji karena negara sedang susah  â€¦ .. ... go aceh,prabowo sandi sepakat tak ambil gaji karena negara sedang susah â€¦ go aceh
