,sentimen,before,after
12,negatif,gak nginti lu to yunartowijaya dan si at abdillahtoha juga gak ngacaaa gak usah ngajarin sandi soal ekonomi dibanding jokowi,gak nginti lu to yunartowijaya dan si at abdillahtoha juga gak ngaca gak usah ngajarin sandi soal ekonomi dibanding jokowi
15,netral,mantulz sekali pak mengisi masa tenang dg umroh bersama kel tercinta istri anak pada ahirnya memang keluarga lah asset plg berharga sehat sll pakdeee,mantulz sekali pak mengisi masa tenang dg umroh bersama kel tercinta istri anak pada ahirnya memang keluarga lah asset plg berharga sehat sll pakde
171,positif,mau harga harga murah pilih prabowo sandi mau hrga listrik murah pilih prabowo sandi mau lowongan kerja pilih prabowo sandi mau hentikan impor saat panen pilih prabowo sandi pokonya prabowo sandiuno yesss yessss,mau harga harga murah pilih prabowo sandi mau hrga listrik murah pilih prabowo sandi mau lowongan kerja pilih prabowo sandi mau hentikan impor saat panen pilih prabowo sandi pokonya prabowo sandiuno yes yes
172,positif,liat video ini netes juga air mata kita doakan semoga prabowo sandiuno menang agar nasib ekonomi para ojol bisa lebih baik lagi aaminnnn,liat video ini netes juga air mata kita doakan semoga prabowo sandiuno menang agar nasib ekonomi para ojol bisa lebih baik lagi aamin
174,netral,yah ngapain juga digaji kan udahhh kayaaa raya congggg paling ngambil dikit aja gakpapa katanya kalo cuma dikit hehe salam dua jari prabowo sandi,yah ngapain juga digaji kan udah kaya raya cong paling ngambil dikit aja gakpapa katanya kalo cuma dikit hehe salam dua jari prabowo sandi
182,negatif,yg diserang ekonomi makro woooyyy lu liat pengangkut sembako dulu belum ada tol dia dijalan mikir jam sekarang tinggal bayar waktu terganti gw pelakunya,yg diserang ekonomi makro woy lu liat pengangkut sembako dulu belum ada tol dia dijalan mikir jam sekarang tinggal bayar waktu terganti gw pelakunya
183,netral,gileee ratusan juta mata menonton menyaksikan sebuah pengakuan yg cukup berani dan jujur bhw kebijakan ekonomi itu bkn salah pak jokowi tp slh orang satu koalosinya makanya prabowo dan sandi berpelukan erat pertanda mrk tdk akan bersama lg utk bericara didpn umum,gile ratusan juta mata menonton menyaksikan sebuah pengakuan yg cukup berani dan jujur bhw kebijakan ekonomi itu bkn salah pak jokowi tp slh orang satu koalosinya makanya prabowo dan sandi berpelukan erat pertanda mrk tdk akan bersama lg utk bericara didpn umum
196,netral,prabowo sudah berbuat apa untuk rakyat kecil sedang gaji karyawannya aja belum dibayar sampai sekarang heheheheee,prabowo sudah berbuat apa untuk rakyat kecil sedang gaji karyawannya aja belum dibayar sampai sekarang hehehehe
200,netral,cc erickthohir kekurangan danakah atau tidak mau tau atau apa plisss jangan dibiarkan pendukung jokowi amin seolah tidak ada yang peduli hargai suara mereka,cc erickthohir kekurangan danakah atau tidak mau tau atau apa plis jangan dibiarkan pendukung jokowi amin seolah tidak ada yang peduli hargai suara mereka
206,negatif,saiki pns podo turu lemes soale kerjoe diawasi mangkane nangis dukung prabowo ben iso turu gaji gede fakkk pahlawan minta jasa,saiki pns podo turu lemes soale kerjoe diawasi mangkane nangis dukung prabowo ben iso turu gaji gede fak pahlawan minta jasa
