,sentimen,before,after
5,netral,yg bisikin pak jokowi cm mikirin perputaran duit di golongan tertentu e sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian indonesia bukan hal fundamental betul yg dikatakan prabowo walau dgn bhs yg sederhana tp mrpkan aspek fundamental ekonomi,yg bisikin pak jokowi cm mikirin perputaran duit di golongan tertentu sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian indonesia bukan hal fundamental betul yg dikatakan prabowo walau dgn bhs yg sederhana tp mrpkan aspek fundamental ekonomi
27,negatif,model ngeles petruk sudah ketaker ber busa didepan sandi ngomongin ekonomi makro dg congkaknya untung sandi nya sabar gak di kick balik pantesan menterinya yg pintar pada mbodoni lha juragannya kyk gini pek k nya uasdifitnah keji balas di tps prabowo sandiuno,model ngeles petruk sudah ketaker ber busa didepan sandi ngomongin ekonomi makro dg congkaknya untung sandi nya sabar gak di kick balik pantesan menterinya yg pintar pada mbodoni lha juragannya kyk gini pek nya uasdifitnah keji balas di tps prabowo sandiuno
43,positif,vidiaamanda april pilih jokowi kma pilih orang baik pilih jelas islamnya pilih baju putih dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan namun di zaman pak jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan https bit l,vidiaamanda april pilih jokowi kma pilih orang baik pilih jelas islamnya pilih baju putih dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan namun di zaman pak jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan https bit
56,negatif,populer b jokowi naikkan tax ratio drastis bisa guncang ekonomi,populer jokowi naikkan tax ratio drastis bisa guncang ekonomi
96,netral,jokowi bahas ekonomi makro dan mikro ya makanan sehari sandiaga dari dulu itu sih fatal untuk ada et keluarlah i spot sejenis revolusi sok futuristik padahal otaknya antik,jokowi bahas ekonomi makro dan mikro ya makanan sehari sandiaga dari dulu itu sih fatal untuk ada et keluarlah spot sejenis revolusi sok futuristik padahal otaknya antik
123,negatif,bukan ga ngerti n ga nyambung ttg pertanyaan ml tp emng ml ga nyambung dg tema debat jd ga penting tuk djawab n dbahas rakyat itu yg utama no satu kestabilan harga pangan n ketersediaannya dr petani sndr negara agraris ko sembrang import,bukan ga ngerti ga nyambung ttg pertanyaan ml tp emng ml ga nyambung dg tema debat jd ga penting tuk djawab dbahas rakyat itu yg utama no satu kestabilan harga pangan ketersediaannya dr petani sndr negara agraris ko sembrang import
124,positif,mencoblos beramal kenapa demikian karena prabowo dan sandiuno jika terpilih insyaallah mereka akan menginfakkan gajinya buat kaum dhuafa suara kita g sia sia kawan mari kita dukung niat mereka uasdifitnah keji balas di tps uasdifitnah keji balas di tps,mencoblos beramal kenapa demikian karena prabowo dan sandiuno jika terpilih insyaallah mereka akan menginfakkan gajinya buat kaum dhuafa suara kita sia sia kawan mari kita dukung niat mereka uasdifitnah keji balas di tps uasdifitnah keji balas di tps
136,negatif,populer b jokowi naikkan tax ratio drastis bisa guncang ekonomi,populer jokowi naikkan tax ratio drastis bisa guncang ekonomi
148,positif,yang terpenting itu prabowo dan sandi berkomitmen untuk menurunkan harga listrik w udah gitu aja kok kalian pendukung si jae yang ga setuju kami pendukung prabowo sandi setuju aja kok dan semoga pak prabowo adalah pemimpin yang tepati janji kampanye ga kayak si jae,yang terpenting itu prabowo dan sandi berkomitmen untuk menurunkan harga listrik udah gitu aja kok kalian pendukung si jae yang ga setuju kami pendukung prabowo sandi setuju aja kok dan semoga pak prabowo adalah pemimpin yang tepati janji kampanye ga kayak si jae
167,negatif,gw bertanding apa sampe kalah gubernur indonesia anies b wina ini jauh melompat pakar ekonomi kelola keuangan tp harga pada naik ekonomi masy tak meningkat trus ajakannya cuma bisa suruh ikat pinggang yg kencang dan sabar sorry yg terbiasa di jalan tak kenal sensi,gw bertanding apa sampe kalah gubernur indonesia anies wina ini jauh melompat pakar ekonomi kelola keuangan tp harga pada naik ekonomi masy tak meningkat trus ajakannya cuma bisa suruh ikat pinggang yg kencang dan sabar sorry yg terbiasa di jalan tak kenal sensi
187,negatif,kan katanya pak sandi lulusan amerika ipk nya katanya jd khatam banget makro dan mikro ini tapi kok kalah sama sarjana kehutanan apakah p jokowi jurusan ekonomi kehutanan,kan katanya pak sandi lulusan amerika ipk nya katanya jd khatam banget makro dan mikro ini tapi kok kalah sama sarjana kehutanan apakah jokowi jurusan ekonomi kehutanan
193,negatif,kata die zaman jokowi ekonomi anjlok tapi punya gadget sebanyak itu belum lagi bayar wifi terus dia bilang anjlok n serba mahal itu apa,kata die zaman jokowi ekonomi anjlok tapi punya gadget sebanyak itu belum lagi bayar wifi terus dia bilang anjlok serba mahal itu apa
195,netral,y memang lebih kecil tp pngetahuan tata kelola ekonomi negara jauh kelasnya,memang lebih kecil tp pngetahuan tata kelola ekonomi negara jauh kelasnya
242,negatif,detikcom jokowi lahh dr games bisa beli mobil mewah beli rumah punya pendapatan dapet penghargaan kasih makan orng di rumah lw bilang gak berbobot lw balik aja k hidup jaman soeharto orba hidup cendana dkijoin,detikcom jokowi lahh dr games bisa beli mobil mewah beli rumah punya pendapatan dapet penghargaan kasih makan orng di rumah lw bilang gak berbobot lw balik aja hidup jaman soeharto orba hidup cendana dkijoin
243,netral,tnya sj pd diri anda jg apa msh sehat jg g anda semua harga ga cuma gas lpg aja yg sudah ada h e t kalau anda mau harga di pangkalan atau agen atau di spbu yg menyediakan lpg bnyk yg antri mlh desa baik aja mas makane kl anda pgn duitnya bnyk kerja keras,tnya sj pd diri anda jg apa msh sehat jg anda semua harga ga cuma gas lpg aja yg sudah ada kalau anda mau harga di pangkalan atau agen atau di spbu yg menyediakan lpg bnyk yg antri mlh desa baik aja mas makane kl anda pgn duitnya bnyk kerja keras
248,negatif,dipikirnya pengembangan esport itu main doang aplikasi yg ada di smartphone itu byk yg mulainya dr main doang terus jd aplikasi yg byk manfaatnya kata siapa pengangguran digaji byk baca buka wawasan jgn mpermalukan gen z,dipikirnya pengembangan esport itu main doang aplikasi yg ada di smartphone itu byk yg mulainya dr main doang terus jd aplikasi yg byk manfaatnya kata siapa pengangguran digaji byk baca buka wawasan jgn mpermalukan gen
255,positif,semoga yg amanah ikhlas tegas ekonomi pro rakyat kecil peduli petani nelayan buruh pedagang kecil yg menuju masyarakat yg adil makmur sejahtera dan aman insyaallah pak prabowo subianto dan sandi aga memenangkan pilpres bulan april amin x yra,semoga yg amanah ikhlas tegas ekonomi pro rakyat kecil peduli petani nelayan buruh pedagang kecil yg menuju masyarakat yg adil makmur sejahtera dan aman insyaallah pak prabowo subianto dan sandi aga memenangkan pilpres bulan april amin yra
259,positif,memiliki pemikiran yang cemerlang untuk kemajuan ekonomi indonesia melalui konsep ekonomi keumatan k h amin sangat cocok mendampingi jokowi maju di pilpres pilih orang baik pilihjelas islamnya pilih baju putih,memiliki pemikiran yang cemerlang untuk kemajuan ekonomi indonesia melalui konsep ekonomi keumatan amin sangat cocok mendampingi jokowi maju di pilpres pilih orang baik pilihjelas islamnya pilih baju putih
269,netral,jokowi juga mampu mengimbangi serangan prabosan soal mikro dia bahkan sengaja menyeret prabosan dengan visi makro nya dibidang ekonomi digital dan membahasnya dari sisi mikro disini sandi mengalami kesalahan fatal dengan menyebut big data untuk e ktp,jokowi juga mampu mengimbangi serangan prabosan soal mikro dia bahkan sengaja menyeret prabosan dengan visi makro nya dibidang ekonomi digital dan membahasnya dari sisi mikro disini sandi mengalami kesalahan fatal dengan menyebut big data untuk ktp
272,positif,do u want to test ur vice president sir saat ini hanya prabowo sandiuno solusi utk indonesia mau harga bhn pokok terjangkau lapangan kerja tersedia kesejahteraan dan status guru lbh baik tenaga medis pasien di perbaiki maka tusuk prabowo sandi,do want to test ur vice president sir saat ini hanya prabowo sandiuno solusi utk indonesia mau harga bhn pokok terjangkau lapangan kerja tersedia kesejahteraan dan status guru lbh baik tenaga medis pasien di perbaiki maka tusuk prabowo sandi
279,netral,kalo dekat hari h biasanya harga tiketnya turun,kalo dekat hari biasanya harga tiketnya turun
290,positif,debat pamungkas jokowi visi dan misinya jauh kedepan namun terlalu jawani untuk debat m amin surprise elemen prabowo mengusung program pelita nya orba sandi uno excellent closing namun kena smash jokowi di ekonomi makro nice debat,debat pamungkas jokowi visi dan misinya jauh kedepan namun terlalu jawani untuk debat amin surprise elemen prabowo mengusung program pelita nya orba sandi uno excellent closing namun kena smash jokowi di ekonomi makro nice debat
360,netral,mkin yg d maksud kiani kertas ga mampu bayar gaji buruhz kali ato kiani kertas g produksi kertas tp produksi utang k karyawabx,mkin yg maksud kiani kertas ga mampu bayar gaji buruhz kali ato kiani kertas produksi kertas tp produksi utang karyawabx
382,netral,populer b jokowi naikkan tax ratio drastis bisa guncang ekonomi,populer jokowi naikkan tax ratio drastis bisa guncang ekonomi
400,netral,apa yang akan bapak prabowo lakukan dalam rangka pengembangan ekonomi digital dalam hal ini pengembangan e sport mobile legend ke depan,apa yang akan bapak prabowo lakukan dalam rangka pengembangan ekonomi digital dalam hal ini pengembangan sport mobile legend ke depan
425,negatif,nonton debat g smalm pak prabowo dgn tegas mengatakan trpuruknya ekonomi indonesia itu bkn slh presiden sblmy,nonton debat smalm pak prabowo dgn tegas mengatakan trpuruknya ekonomi indonesia itu bkn slh presiden sblmy
446,positif,kenapa g sandi bahas kalau salah mas kan bisa jadi poin besar untuk buktikan jokowi g bagus atau emang prabowo yg g tau ekonomi makro atau ekonomi skala nasional,kenapa sandi bahas kalau salah mas kan bisa jadi poin besar untuk buktikan jokowi bagus atau emang prabowo yg tau ekonomi makro atau ekonomi skala nasional
453,positif,celotehprabu assalammuaalaikum wr bpk prabowo sandi jng hanya guru honor k saja yg di perhatikan tetapi para guru honor honorer di sekolah swasta lah yg harus di fikiran mereka hidup tdk layak dng gaji seenak yayasan saja di bawah umr sang,celotehprabu assalammuaalaikum wr bpk prabowo sandi jng hanya guru honor saja yg di perhatikan tetapi para guru honor honorer di sekolah swasta lah yg harus di fikiran mereka hidup tdk layak dng gaji seenak yayasan saja di bawah umr sang
462,netral,salah satu wacana untuk memanfaatkan teknologi dalam e sport juga patut diacungi jempol wadah dan regulasi yg jelas bisa memberikan angin segar pada perputaran ekonomi pajak dari sektor ini perlu dikawal anak muda punya kegiatan positif negara bisa mewadahi itu juga misi,salah satu wacana untuk memanfaatkan teknologi dalam sport juga patut diacungi jempol wadah dan regulasi yg jelas bisa memberikan angin segar pada perputaran ekonomi pajak dari sektor ini perlu dikawal anak muda punya kegiatan positif negara bisa mewadahi itu juga misi
463,negatif,saham sdh dijual aset banyak berkurang sekarang tidak akan menerima gaji hm mau korupsi yg g seberapa,saham sdh dijual aset banyak berkurang sekarang tidak akan menerima gaji hm mau korupsi yg seberapa
466,positif,hahahaha kalau mau sumbang itu bukan gaji om tapi dana operasional presiden dan wapres berani gak saya yakin kagak kenapa krn dana operasional itu knp jokowi justru beli sabun m bagi sepeda bagi dana operasional yg dia beri utk rakyat,hahahaha kalau mau sumbang itu bukan gaji om tapi dana operasional presiden dan wapres berani gak saya yakin kagak kenapa krn dana operasional itu knp jokowi justru beli sabun bagi sepeda bagi dana operasional yg dia beri utk rakyat
479,netral,lagi beli lalapan lalapan nanti kalo yg jadi presiden pak jokowi lalapannya ngga naik kalo presidennya prabowo harganya naik aku dalem hati waduh frontal gini v tapi gapapa lah semua orang berhak ikut pesta demokrasi negeri ini aku pengamat ae wes v,lagi beli lalapan lalapan nanti kalo yg jadi presiden pak jokowi lalapannya ngga naik kalo presidennya prabowo harganya naik aku dalem hati waduh frontal gini tapi gapapa lah semua orang berhak ikut pesta demokrasi negeri ini aku pengamat ae wes
484,netral,kan ga hanya gaji aja yg d terima mungkin ada insentif laen dari kegiatan pak jokowi yang jelas udah d klarifikasi anda ga yakin sama sistem pengujian lhkpn yg d lakukan oleh kpk,kan ga hanya gaji aja yg terima mungkin ada insentif laen dari kegiatan pak jokowi yang jelas udah klarifikasi anda ga yakin sama sistem pengujian lhkpn yg lakukan oleh kpk
486,negatif,topik debat kan tentang ekonomi dan kesejahteraan sosial keuangan dan investasi serta perdagangan dan industri trs kenapa malah pk jokowi membahas e sports game sprt mobile legend dota dua sama pubg itu game yg membuat anakdua kita terlena,topik debat kan tentang ekonomi dan kesejahteraan sosial keuangan dan investasi serta perdagangan dan industri trs kenapa malah pk jokowi membahas sports game sprt mobile legend dota dua sama pubg itu game yg membuat anakdua kita terlena
501,positif,ini penutup debat kemaren pak prabowo dan pak sandi akan memberi sepenuhnya gaji mereka sbg presiden n wakil presiden untuk membantu rakyat miskin tp sebelum debat ini juga pendukung padi sih udah pd tau ya ga ya ga,ini penutup debat kemaren pak prabowo dan pak sandi akan memberi sepenuhnya gaji mereka sbg presiden wakil presiden untuk membantu rakyat miskin tp sebelum debat ini juga pendukung padi sih udah pd tau ya ga ya ga
504,positif,jokowi lebih cepat merespon perubahan tuntutan jaman merangkul semua kalangan hasil kerjanya nyata sentuhan jokowi mengangkat harga diri bangsa dimata dunia memilih jokowi melawan khilafah preman brjubah yg menjual agama u takuti rakyat,jokowi lebih cepat merespon perubahan tuntutan jaman merangkul semua kalangan hasil kerjanya nyata sentuhan jokowi mengangkat harga diri bangsa dimata dunia memilih jokowi melawan khilafah preman brjubah yg menjual agama takuti rakyat
514,negatif,m m m h oke deh gini prestasi bapak sandi dalam membangkitkan ekonomi secara signifikan apa solusi bapak prabowo mengentaskan pendidikan orang orang bodoh seperti apa kalau memang pemerintahan sekarang buruk sistem apa yang harus diubah satu aja dan solusi,oke deh gini prestasi bapak sandi dalam membangkitkan ekonomi secara signifikan apa solusi bapak prabowo mengentaskan pendidikan orang orang bodoh seperti apa kalau memang pemerintahan sekarang buruk sistem apa yang harus diubah satu aja dan solusi
