,sentimen,before,after
0,negatif,"kata @prabowo indonesia tidak dihargai bangsa asing!   berita ini ðÿ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðÿ˜œ https://twitter.com/mediaindonesia/status/1117575436337160192?s=21â â€¦","kata @prabowo indonesia tidak dihargai bangsa asing!   berita ini ðÿ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðÿ˜œ  â€¦"
1,netral,"batuan langka, tasbih jokowi hadiah dari habib luthfi seharga mercy?  http://dlvr.it/r2pvzvâ ","batuan langka, tasbih jokowi hadiah dari habib luthfi seharga mercy?"
2,netral,"di era jokowi, ekonomi indonesia semakin baik. 01indonesia maju jokowi lagi jokowi menang total debat pic.twitter.com/w2ythnxstp","di era jokowi, ekonomi indonesia semakin baik. 01indonesia maju jokowi lagi jokowi menang total debat"
9,negatif,prabowo-sandi sepakat tak ambil gaji karena negara sedang susah https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterâ â€¦ .. ... go aceh,prabowo-sandi sepakat tak ambil gaji karena negara sedang susah  â€¦ .. ... go aceh
10,positif,"pilih orang baik pilih jelas islamnya pilih baju putih pilih pemimpin itu yg udh jelas banyak pencapaiannya. nah, ini dia 5 pencapaian ekonomi selama pemerintahan jokowi. coblos 01 yuk kerja pasti ! https://bit.ly/2ogymxtâ","pilih orang baik pilih jelas islamnya pilih baju putih pilih pemimpin itu yg udh jelas banyak pencapaiannya. nah, ini dia 5 pencapaian ekonomi selama pemerintahan jokowi. coblos 01 yuk kerja pasti !"
11,positif,"calon presiden jokowi menjelaskan program kartu pra kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. 2019jokowi kyai maruf pic.twitter.com/nj2hhmiizv","calon presiden jokowi menjelaskan program kartu pra kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. 2019jokowi kyai maruf"
13,positif,"menurut jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. 2019jokowi kyai maruf rakyat ingin jokowi menang https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1 pic.twitter.com/yzpyj7ihsoâ","menurut jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. 2019jokowi kyai maruf rakyat ingin jokowi menang"
16,positif,pilih orang baik pilih jelas islamnya pilih baju putih pentingnya sisi industri kreatif dan inovatif di era industri global. membuat jokowi tergerak untuk mengubah badan ekonomi kreatif (bekraf) menjadi sebuah kementerian . coblos 01 yuk kerja pasti ! pic.twitter.com/4vpqigzacq,pilih orang baik pilih jelas islamnya pilih baju putih pentingnya sisi industri kreatif dan inovatif di era industri global. membuat jokowi tergerak untuk mengubah badan ekonomi kreatif (bekraf) menjadi sebuah kementerian . coblos 01 yuk kerja pasti !
19,positif,prabowo sejak jadi tni puluhan tahun nggak dia ambil gajinya serupiah pun. sandi sejak jadi wagub jg demikian . susah ya cari orang seperti mereka?? yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/ux372njznw,prabowo sejak jadi tni puluhan tahun nggak dia ambil gajinya serupiah pun. sandi sejak jadi wagub jg demikian . susah ya cari orang seperti mereka?? yang gak ambil gaji dari hasil mereka kerja untuk negara!!
20,netral,assalamu'alaikum.  saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di jkt namun ktp daerah. semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. semoga allah swt mengabulkan itu. aamiin ya rabb https://twitter.com/sandiuno/status/1117101696696455173â â€¦,assalamu'alaikum.  saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di jkt namun ktp daerah. semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. semoga allah swt mengabulkan itu. aamiin ya rabb  â€¦
21,negatif,"jika terpilih, prabowo-sandiaga janji tak ambil gaji - kita tahu mereka orang-orang yang superkaya, mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh !! https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji?utm_content=detikcom&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=twitter#echobox=1555171378â â€¦","jika terpilih, prabowo-sandiaga janji tak ambil gaji - kita tahu mereka orang-orang yang superkaya, mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh !!  â€¦"
22,negatif,@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 ? mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .jika tdk maka 02 akan gagal.ayo semua  tirakat/ munajad.in,@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 ? mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .jika tdk maka 02 akan  semua  tirakat/
24,positif,pilih orang baik pilih jelas islamnya pilih baju putih kepercayaan hanya diberikan pd mrk yg berpengalaman. seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. coblos yuk 01 yaâ€¦. https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlâ â€¦,pilih orang baik pilih jelas islamnya pilih baju putih kepercayaan hanya diberikan pd mrk yg berpengalaman. seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. coblos yuk 01 yaâ€¦.  â€¦
26,positif,"pilih orang baik pilih jelas islamnya pilih baju putih keberhasilan tidak hanya dibidang infrastruktur, jokowi jg berhasil memperbaiki ekonomi indonesia. coblos yuk 01 yaâ€¦. https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328â â€¦","pilih orang baik pilih jelas islamnya pilih baju putih keberhasilan tidak hanya dibidang infrastruktur, jokowi jg berhasil memperbaiki ekonomi indonesia. coblos yuk 01 yaâ€¦.  â€¦"
32,negatif,"baguslah pendukung jokowi tebang pohon bkn dg golok/gergaji, tapi dg ranting pohon itu sendiri, jadi elektabilitas jokowi nyungseb bkn oleh lawan politiknya, tapi oleh pendukung dari dalam sendiri. tolol dipelihara, dasar ebong  https://twitter.com/akuntofa/status/1117528741809229824â â€¦","baguslah pendukung jokowi tebang pohon bkn dg golok/gergaji, tapi dg ranting pohon itu sendiri, jadi elektabilitas jokowi nyungseb bkn oleh lawan politiknya, tapi oleh pendukung dari dalam sendiri. tolol dipelihara, dasar ebong   â€¦"
