,sentimen,before,after
0,negatif,"Kata @prabowo Indonesia tidak dihargai bangsa asing!   Berita ini ðŸ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðŸ˜œ https://twitter.com/mediaindonesia/status/1117575436337160192?s=21Â â€¦","kata @prabowo indonesia tidak dihargai bangsa asing!   berita ini ðÿ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðÿ˜œ https://twitter.com/mediaindonesia/status/1117575436337160192?s=21â â€¦"
1,netral,"Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  http://dlvr.it/R2pvZVÂ ","batuan langka, tasbih jokowi hadiah dari habib luthfi seharga mercy?  http://dlvr.it/r2pvzvâ "
2,netral,"Di era Jokowi, ekonomi Indonesia semakin baik. 01Indonesia Maju Jokowi Lagi Jokowi Menang Total Debat pic.twitter.com/W2ythnxsTp","di era jokowi, ekonomi indonesia semakin baik. 01indonesia maju jokowi lagi jokowi menang total debat pic.twitter.com/w2ythnxstp"
3,positif,"Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!","bagi sumatera selatan, asian games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. indonesia maju, jokowi hebat!"
4,negatif,"Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak","negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. penghasilan negara itu ya dari pajak"
5,netral,"Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. E-Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi","yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. e-sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian indonesia, bukan hal fundamental. betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi"
6,positif,Masa tenang msih ngoceh aja..ttp jokowi harga mati...,masa tenang msih ngoceh aja..ttp jokowi harga mati...
7,positif,"UASdifitnah Keji Balas Di TPS kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati... UASdifitnah Keji Balas Di TPS","uasdifitnah keji balas di tps kerjasa ekonomi bilateral, multilateral kita doakan di tps sambil dengarkan suara hati... uasdifitnah keji balas di tps"
8,netral,"Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi ðŸ˜‚ & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & JumatanðŸ™ðŸ‘","iya bener aa, kita mantap kan pilihan ke pemimpin yg bs memberi solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @sbyudhoyono dismash sm mas bowo, percuma koalisi klau mengantam tmn koalisi ðÿ˜‚ & yg plg penting pilih pemimpin yg rajin ibadah wajib, bisa ngaji & jumatanðÿ™ðÿ‘"
9,negatif,Prabowo-Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterÂ â€¦ .. ... Go Aceh,prabowo-sandi sepakat tak ambil gaji karena negara sedang susah https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterâ â€¦ .. ... go aceh
10,positif,"Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti ! https://bit.ly/2OgymxtÂ","pilih orang baik pilih jelas islamnya pilih baju putih pilih pemimpin itu yg udh jelas banyak pencapaiannya. nah, ini dia 5 pencapaian ekonomi selama pemerintahan jokowi. coblos 01 yuk kerja pasti ! https://bit.ly/2ogymxtâ"
11,positif,"Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. 2019Jokowi Kyai Maruf pic.twitter.com/Nj2hhmiIzv","calon presiden jokowi menjelaskan program kartu pra kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. 2019jokowi kyai maruf pic.twitter.com/nj2hhmiizv"
12,negatif,"Gak nginti Lu to @yunartowijaya, dan si @AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.","gak nginti lu to @yunartowijaya, dan si @at_abdillahtoha juga gak ngacaaa,, gak usah ngajarin sandi soal ekonomi dibanding jokowi."
13,positif,"Menurut Jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. 2019Jokowi Kyai Maruf Rakyat Ingin Jokowi Menang https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1 pic.twitter.com/YZpyj7IhSoÂ","menurut jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. 2019jokowi kyai maruf rakyat ingin jokowi menang https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1 pic.twitter.com/yzpyj7ihsoâ"
