,sentimen,before,after
2,netral,"di era jokowi, ekonomi indonesia semakin baik. 01indonesia maju jokowi lagi jokowi menang total debat","di era jokowi, ekonomi indonesia semakin baik. indonesia maju jokowi lagi jokowi menang total debat"
3,positif,"bagi sumatera selatan, asian games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. indonesia maju, jokowi hebat!","bagi sumatera selatan, asian games berdampak pd ekonomi langsung diprediksi mencapai , triliun. indonesia maju, jokowi hebat!"
10,positif,"pilih orang baik pilih jelas islamnya pilih baju putih pilih pemimpin itu yg udh jelas banyak pencapaiannya. nah, ini dia 5 pencapaian ekonomi selama pemerintahan jokowi. coblos 01 yuk kerja pasti !","pilih orang baik pilih jelas islamnya pilih baju putih pilih pemimpin itu yg udh jelas banyak pencapaiannya. nah, ini dia  pencapaian ekonomi selama pemerintahan jokowi. coblos satu yuk kerja pasti !"
11,positif,"calon presiden jokowi menjelaskan program kartu pra kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. 2019jokowi kyai maruf","calon presiden jokowi menjelaskan program kartu pra kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. jokowi kyai maruf"
13,positif,"menurut jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. 2019jokowi kyai maruf rakyat ingin jokowi menang","menurut jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. jokowi kyai maruf rakyat ingin jokowi menang"
14,netral,"terlalu berat nge bahas ekonomi dgn angka2.. cukup bahas mobil lejen aj,","terlalu berat nge bahas ekonomi dgn angka.. cukup bahas mobil lejen aj,"
15,netral,"mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...ðÿ‘ðÿ‘ðÿ‘","mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...ðÿ‘ðÿ‘ðÿ‘"
16,positif,pilih orang baik pilih jelas islamnya pilih baju putih pentingnya sisi industri kreatif dan inovatif di era industri global. membuat jokowi tergerak untuk mengubah badan ekonomi kreatif (bekraf) menjadi sebuah kementerian . coblos 01 yuk kerja pasti !,pilih orang baik pilih jelas islamnya pilih baju putih pentingnya sisi industri kreatif dan inovatif di era industri global. membuat jokowi tergerak untuk mengubah badan ekonomi kreatif (bekraf) menjadi sebuah kementerian . coblos satu yuk kerja pasti !
17,positif,"dalam 16 pakta integritas antara prabowo sandi dan ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa pancasila dan nkri itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam uasdifitnah keji dan brutal uasdifitnah keji balas di tps","dalam  pakta integritas antara prabowo sandi dan ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa pancasila dan nkri itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam uasdifitnah keji dan brutal uasdifitnah keji balas di tps"
18,netral,"saya dengar pak, mbak vidya, dari curup. dulu beli lipstik purbasari harga 25 ribu. tapi sekarang beli lipstik nyx gak cukup 25 ribu ðÿ˜­","saya dengar pak, mbak vidya, dari curup. dulu beli lipstik purbasari harga  ribu. tapi sekarang beli lipstik nyx gak cukup  ribu ðÿ˜­"
20,netral,assalamu'alaikum.  saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di jkt namun ktp daerah. semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. semoga allah swt mengabulkan itu. aamiin ya rabb  â€¦,assalamu'alaikum.  saya tahu satu suara itu sgt berharga dlm upaya memenangkan dua @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di jkt namun ktp daerah. semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. semoga allah swt mengabulkan itu. aamiin ya rabb  â€¦
21,negatif,"jika terpilih, prabowo-sandiaga janji tak ambil gaji - kita tahu mereka orang-orang yang superkaya, mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh !!  â€¦","jika terpilih, prabowo-sandiaga janji tak ambil gaji - kita tahu mereka orang-orang yang superkaya, mbok ya rendah hatilah jangan menyatakan kata berkonotasi angkuh !!  â€¦"
22,negatif,@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 ? mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .jika tdk maka 02 akan  semua  tirakat/,@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan dua ? mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .jika tdk maka dua akan  semua  tirakat/
23,positif,prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan 17april tusuk prabowo sandi,prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan april tusuk prabowo sandi
24,positif,pilih orang baik pilih jelas islamnya pilih baju putih kepercayaan hanya diberikan pd mrk yg berpengalaman. seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. coblos yuk 01 yaâ€¦.  â€¦,pilih orang baik pilih jelas islamnya pilih baju putih kepercayaan hanya diberikan pd mrk yg berpengalaman. seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. coblos yuk satu yaâ€¦.  â€¦
26,positif,"pilih orang baik pilih jelas islamnya pilih baju putih keberhasilan tidak hanya dibidang infrastruktur, jokowi jg berhasil memperbaiki ekonomi indonesia. coblos yuk 01 yaâ€¦.  â€¦","pilih orang baik pilih jelas islamnya pilih baju putih keberhasilan tidak hanya dibidang infrastruktur, jokowi jg berhasil memperbaiki ekonomi indonesia. coblos yuk satu yaâ€¦.  â€¦"
27,negatif,"model ngeles petruk sudah ketaker ber-busa2 didepan sandi ngomongin ekonomi makro dg congkaknya untung sandi nya sabar gak di kick balik pantesan menteri2nya yg pintar2 pada mbodoni , lha juragannya kyk gini pek*k nya ..ðÿ˜¢ðÿ˜¬ uasdifitnah keji balas di tps @prabowo @sandiuno","model ngeles petruk sudah ketaker ber-busa didepan sandi ngomongin ekonomi makro dg congkaknya untung sandi nya sabar gak di kick balik pantesan menterinya yg pintar pada mbodoni , lha juragannya kyk gini pek*k nya ..ðÿ˜¢ðÿ˜¬ uasdifitnah keji balas di tps @prabowo @sandiuno"
28,positif,"dengan memilih 02 kita sudah bersodakoh, karna prabowo sandi menyumbangkan gaji mereka untuk negara,fakir miskin, yatim piatu, masjid. jadikan prabowo sandi presiden dan wakil presiden ri save_uas","dengan memilih dua kita sudah bersodakoh, karna prabowo sandi menyumbangkan gaji mereka untuk negara,fakir miskin, yatim piatu, masjid. jadikan prabowo sandi presiden dan wakil presiden ri save_uas"
