,sentimen,before,after
0,negatif,kata prabowo indonesia tidak dihargai bangsa asing berita ini ðÿ‘‡ pasti hoax buatan penguasa ya kan rockygerung ðÿ˜œ  â€¦,kata prabowo indonesia tidak dihargai bangsa asing berita ini pasti hoax buatan penguasa ya kan rockygerung
1,netral,batuan langka tasbih jokowi hadiah dari habib luthfi seharga mercy ,batuan langka tasbih jokowi hadiah dari habib luthfi seharga mercy
3,positif,bagi sumatera selatan asian games berdampak pd ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat ,bagi sumatera selatan asian games berdampak pd ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat
6,positif,masa tenang msih ngoceh aja ttp jokowi harga mati ,masa tenang msih ngoceh aja ttp jokowi harga mati
8,netral,iya bener aa kita mantap kan pilihan ke pemimpin yg bs memberi solusi jokowi bukan yg menyalahkan pemimpin sebelumnya sbyudhoyono dismash sm mas bowo percuma koalisi klau mengantam tmn koalisi ðÿ˜‚ yg plg penting pilih pemimpin yg rajin ibadah wajib bisa ngaji jumatanðÿðÿ‘,iya bener aa kita mantap kan pilihan ke pemimpin yg bs memberi solusi jokowi bukan yg menyalahkan pemimpin sebelumnya sbyudhoyono dismash sm mas bowo percuma koalisi klau mengantam tmn koalisi yg plg penting pilih pemimpin yg rajin ibadah wajib bisa ngaji
9,negatif,prabowo sandi sepakat tak ambil gaji karena negara sedang susah â€¦ go aceh,prabowo sandi sepakat tak ambil gaji karena negara sedang susah go aceh
10,positif,pilih orang baik pilih jelas islamnya pilih baju putih pilih pemimpin itu yg udh jelas banyak pencapaiannya nah ini dia pencapaian ekonomi selama pemerintahan jokowi coblos satu yuk kerja pasti ,pilih orang baik pilih jelas islamnya pilih baju putih pilih pemimpin itu yg udh jelas banyak pencapaiannya nah ini dia pencapaian ekonomi selama pemerintahan jokowi coblos satu yuk kerja pasti
12,negatif,gak nginti lu to yunartowijaya dan si at abdillahtoha juga gak ngacaaa gak usah ngajarin sandi soal ekonomi dibanding jokowi ,gak nginti lu to yunartowijaya dan si at abdillahtoha juga gak ngacaaa gak usah ngajarin sandi soal ekonomi dibanding jokowi
14,netral,terlalu berat nge bahas ekonomi dgn angka cukup bahas mobil lejen aj ,terlalu berat nge bahas ekonomi dgn angka cukup bahas mobil lejen aj
15,netral,mantulz sekali pak mengisi masa tenang dg umroh bersama kel tercinta istri anak pada ahirnya memang keluarga lah asset plg berharga sehat sll pakdeee ðÿ‘ðÿ‘ðÿ‘,mantulz sekali pak mengisi masa tenang dg umroh bersama kel tercinta istri anak pada ahirnya memang keluarga lah asset plg berharga sehat sll pakdeee
16,positif,pilih orang baik pilih jelas islamnya pilih baju putih pentingnya sisi industri kreatif dan inovatif di era industri global membuat jokowi tergerak untuk mengubah badan ekonomi kreatif bekraf menjadi sebuah kementerian coblos satu yuk kerja pasti ,pilih orang baik pilih jelas islamnya pilih baju putih pentingnya sisi industri kreatif dan inovatif di era industri global membuat jokowi tergerak untuk mengubah badan ekonomi kreatif bekraf menjadi sebuah kementerian coblos satu yuk kerja pasti
18,netral,saya dengar pak mbak vidya dari curup dulu beli lipstik purbasari harga ribu tapi sekarang beli lipstik nyx gak cukup ribu ðÿ˜­,saya dengar pak mbak vidya dari curup dulu beli lipstik purbasari harga ribu tapi sekarang beli lipstik nyx gak cukup ribu
19,positif,prabowo sejak jadi tni puluhan tahun nggak dia ambil gajinya serupiah pun sandi sejak jadi wagub jg demikian susah ya cari orang seperti mereka yang gak ambil gaji dari hasil mereka kerja untuk negara ,prabowo sejak jadi tni puluhan tahun nggak dia ambil gajinya serupiah pun sandi sejak jadi wagub jg demikian susah ya cari orang seperti mereka yang gak ambil gaji dari hasil mereka kerja untuk negara
20,netral,assalamualaikum saya tahu satu suara itu sgt berharga dlm upaya memenangkan dua prabowo sandiuno saya hrs merelakan suara dikarenakan berada di jkt namun ktp daerah semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa semoga allah swt mengabulkan itu aamiin ya rabb  â€¦,assalamualaikum saya tahu satu suara itu sgt berharga dlm upaya memenangkan dua prabowo sandiuno saya hrs merelakan suara dikarenakan berada di jkt namun ktp daerah semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa semoga allah swt mengabulkan itu aamiin ya rabb
21,negatif,jika terpilih prabowo sandiaga janji tak ambil gaji kita tahu mereka orang orang yang superkaya mbok ya rendah hatilah jangan menyatakan kata berkonotasi angkuh â€¦,jika terpilih prabowo sandiaga janji tak ambil gaji kita tahu mereka orang orang yang superkaya mbok ya rendah hatilah jangan menyatakan kata berkonotasi angkuh
22,negatif, prabowo apa bapak gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan dua mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg tirakat mujahadah jika tdk maka dua akan semua tirakat ,prabowo apa bapak gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan dua mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg tirakat mujahadah jika tdk maka dua akan semua tirakat
24,positif,pilih orang baik pilih jelas islamnya pilih baju putih kepercayaan hanya diberikan pd mrk yg berpengalaman seorang jokowi memiliki wakil yg berpengalaman dibidang ekonomi coblos yuk satu yaâ€¦ â€¦,pilih orang baik pilih jelas islamnya pilih baju putih kepercayaan hanya diberikan pd mrk yg berpengalaman seorang jokowi memiliki wakil yg berpengalaman dibidang ekonomi coblos yuk satu
25,negatif,ummat islam yg waras dan cerdas pasti senang beramal coblos prabowo anda ikut andil dlm beramal gaji beliau tdk diambil tp untk amal ,ummat islam yg waras dan cerdas pasti senang beramal coblos prabowo anda ikut andil dlm beramal gaji beliau tdk diambil tp untk amal
26,positif,pilih orang baik pilih jelas islamnya pilih baju putih keberhasilan tidak hanya dibidang infrastruktur jokowi jg berhasil memperbaiki ekonomi indonesia coblos yuk satu yaâ€¦ â€¦,pilih orang baik pilih jelas islamnya pilih baju putih keberhasilan tidak hanya dibidang infrastruktur jokowi jg berhasil memperbaiki ekonomi indonesia coblos yuk satu
27,negatif,model ngeles petruk sudah ketaker ber busa didepan sandi ngomongin ekonomi makro dg congkaknya untung sandi nya sabar gak di kick balik pantesan menterinya yg pintar pada mbodoni lha juragannya kyk gini pek k nya ðÿ˜¢ðÿ˜¬ uasdifitnah keji balas di tps prabowo sandiuno,model ngeles petruk sudah ketaker ber busa didepan sandi ngomongin ekonomi makro dg congkaknya untung sandi nya sabar gak di kick balik pantesan menterinya yg pintar pada mbodoni lha juragannya kyk gini pek k nya uasdifitnah keji balas di tps prabowo sandiuno
31,negatif, divhumas polri gakan di ladenin sama pak pulisi karna pak pulisi di gaji sama jokowi pake duit jokowi bukaan sama rakyat lapor nya nanti aja tunggu udah ganti presiden uasdifitnah keji dan brutal uasdifitnah keji dan brutal uasdifitnah keji dan brut,divhumas polri gakan di ladenin sama pak pulisi karna pak pulisi di gaji sama jokowi pake duit jokowi bukaan sama rakyat lapor nya nanti aja tunggu udah ganti presiden uasdifitnah keji dan brutal uasdifitnah keji dan brutal uasdifitnah keji dan brut
