,sentimen,before,after
73,negatif,leres pakdhe :) salah satu aspek penting dari faktor ekonomi yg bertumbuh adalah stabilitas politik dalam negeri yg ditunjukkan dg adanya kepastian dan keadilan dalam penegakan hukum. jadi pripun kabare ðÿ‘‰ duatahunnovel pakde @jokowi ðÿ˜šâ˜º,leres pakdhe  salah satu aspek penting dari faktor ekonomi yg bertumbuh adalah stabilitas politik dalam negeri yg ditunjukkan dg adanya kepastian dan keadilan dalam penegakan hukum. jadi pripun kabare ðÿ‘‰ duatahunnovel pakde @jokowi ðÿ˜šâ˜º
235,positif,"yang janjinya mau ngehapusin pajak,  malah bikin hutang negara nambah lho mbak,  adanya pajak itu buat negara lho :)","yang janjinya mau ngehapusin pajak,  malah bikin hutang negara nambah lho mbak,  adanya pajak itu buat negara lho "
260,positif,itu cuma utk state bahwa pakde sudah menaikan gaji dan tunjangan saat pak prabowo baru berjanji akan menaikan :),itu cuma utk state bahwa pakde sudah menaikan gaji dan tunjangan saat pak prabowo baru berjanji akan menaikan 
499,netral,"pak, liat ini pak.  @jokowi @prabowo @chilli_pari @sandiuno @kaesangp @luhutbinsar      tolong digajih team yg bikin film dokumenter sekeren iniðÿ˜­  bikin nangis dan ngerasa bersalah banget sering lupa cabut casan dan matiin lampu :((","pak, liat ini pak.  @jokowi @prabowo @chilli_pari @sandiuno @kaesangp @luhutbinsar      tolong digajih team yg bikin film dokumenter sekeren iniðÿ˜­  bikin nangis dan ngerasa bersalah banget sering lupa cabut casan dan matiin lampu ("
624,positif,"tau heran deh, pdhl pemerintahan sblmnya bbm sering tibaâ€ naik, hrga pangan tbtb naik:( skrg paling stabil kok malah kisruh:( emng susah mb kl udh cinta mati sm yg didukung wlpn pak wowo ngelakuin kesalahan kg tetep dibela matiâ€an pdhl jokowi harga mati wkwk:â€™) @nabila","tau heran deh, pdhl pemerintahan sblmnya bbm sering tibaâ€ naik, hrga pangan tbtb naik skrg paling stabil kok malah kisruh emng susah mb kl udh cinta mati sm yg didukung wlpn pak wowo ngelakuin kesalahan kg tetep dibela matiâ€an pdhl jokowi harga mati wkwk:â€™) @nabila"
757,positif,"setuju sama mba @n_alfah jujur aku kagum sama uah sama ilmu dan tutur katanya, dan aku hargain pilihan beliau itu haknya. tp kalo soal masuk surga kan beda ya padahal beliau selalu ngingetin ""kita bukan siapa-siapa gada jaminan kita langsung masuk surga"" jadi agak gimana gituh :(","setuju sama mba @n_alfah jujur aku kagum sama uah sama ilmu dan tutur katanya, dan aku hargain pilihan beliau itu haknya. tp kalo soal masuk surga kan beda ya padahal beliau selalu ngingetin ""kita bukan siapa-siapa gada jaminan kita langsung masuk surga"" jadi agak gimana gituh "
872,positif,"akutuh kasihan ngelihat pak jokowi udah berumur, tapi masih ttp trsnyum disaat org ngebenci dia:( diluar dia jadi capres, ak ttp ngehargai usaha bapa selama jd presiden. bapa org yg kuat, yg tabah, yg sabar akan hinaan rakyatnya sendiri:( kdg suka nangis deh klo ngeliat bapa","akutuh kasihan ngelihat pak jokowi udah berumur, tapi masih ttp trsnyum disaat org ngebenci dia diluar dia jadi capres, ak ttp ngehargai usaha bapa selama jd presiden. bapa org yg kuat, yg tabah, yg sabar akan hinaan rakyatnya sendiri kdg suka nangis deh klo ngeliat bapa"
1048,negatif,"jangan main fitnah gtu dong,gausah diperlihatkan tangan kaki kalian semua para dungu bergetar takut mendengar pilihan guru kami untuk memilih pak prabowo. kalian kan sudah didukung oleh ratusan org yg berpengaruh di indonesia,mengapa takut dengan seorang guru ngaji?? :) save uas","jangan main fitnah gtu dong,gausah diperlihatkan tangan kaki kalian semua para dungu bergetar takut mendengar pilihan guru kami untuk memilih pak prabowo. kalian kan sudah didukung oleh ratusan org yg berpengaruh di indonesia,mengapa takut dengan seorang guru ngaji??  save uas"
1636,negatif,"gini ya, kalo dua biarlah prabowo yg mikir rakyat kecil, ekonomi mikro, keamanan. kalo sandi mikir teknologi, pendidikan.  kasian kalo satu dibebanin ke joko semua, pak maruf aja ngomong di debat tadi ngos ngosan masa disuruh kerja ini itu :(","gini ya, kalo dua biarlah prabowo yg mikir rakyat kecil, ekonomi mikro, keamanan. kalo sandi mikir teknologi, pendidikan.  kasian kalo satu dibebanin ke joko semua, pak maruf aja ngomong di debat tadi ngos ngosan masa disuruh kerja ini itu "
1650,netral,"â€œtidak mengambil gajiâ€. resep yang sudah terbukti menang. gokil. tapi debat tidak akan mengubah pikiran yang sudah pro jokowi, atau pro prabowo sih. tapi debat terakhir ini, bisa mengubah pikiran para swing voters. siap siap aja  april. seru ini :)","â€œtidak mengambil gajiâ€. resep yang sudah terbukti menang. gokil. tapi debat tidak akan mengubah pikiran yang sudah pro jokowi, atau pro prabowo sih. tapi debat terakhir ini, bisa mengubah pikiran para swing voters. siap siap aja  april. seru ini "
1714,negatif,"pak prabowo sama pak sandiaga jangan cuma gaji aja. tunjangan jabatan juga dong. dimana kalo pemerintahan sama sipil, tunjangan jabatann jauh lebih gede :))","pak prabowo sama pak sandiaga jangan cuma gaji aja. tunjangan jabatan juga dong. dimana kalo pemerintahan sama sipil, tunjangan jabatann jauh lebih gede )"
1754,positif,"jadi alangkah lebih baiknya pak @prabowo dan pak @sandiuno tidak hanya memberi seluruh gaji jika jadi presiden dan wakil presiden, tapi juga bisa memberikan seluruh tunjangan jabatannya juga karena endingnya pemberiannya akan jauh lebih besar, pahala lebih besar. sekian :))","jadi alangkah lebih baiknya pak @prabowo dan pak @sandiuno tidak hanya memberi seluruh gaji jika jadi presiden dan wakil presiden, tapi juga bisa memberikan seluruh tunjangan jabatannya juga karena endingnya pemberiannya akan jauh lebih besar, pahala lebih besar. sekian )"
