,sentimen,before,after
0,negatif,kata prabowo indonesia tidak dihargai bangsa asing berita ini pasti hoax buatan penguasa ya kan rockygerung,kata prabowo indonesia tidak harga bangsa asing berita ini pasti hoax buat kuasa ya kan rockygerung
1,netral,batuan langka tasbih jokowi hadiah dari habib luthfi seharga mercy,batu langka tasbih jokowi hadiah dari habib luthfi harga mercy
2,netral,di era jokowi ekonomi indonesia semakin baik indonesia maju jokowi lagi jokowi menang total debat,di era jokowi ekonomi indonesia makin baik indonesia maju jokowi lagi jokowi menang total debat
3,positif,bagi sumatera selatan asian games berdampak pd ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat,bagi sumatera selatan asi games dampak pd ekonomi langsung prediksi capai triliun indonesia maju jokowi hebat
4,negatif,negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat terus masyarakatnya ngeluh karena negara ngutang setiap negara itu pasti ngutang utang bisa dibayar kalo negara dapet penghasilan penghasilan negara itu ya dari pajak,negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat terus masyarakat ngeluh karena negara ngutang tiap negara itu pasti ngutang utang bisa bayar kalo negara dapet hasil hasil negara itu ya dari pajak
5,netral,yg bisikin pak jokowi cm mikirin perputaran duit di golongan tertentu sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian indonesia bukan hal fundamental betul yg dikatakan prabowo walau dgn bhs yg sederhana tp mrpkan aspek fundamental ekonomi,yg bisikin pak jokowi cm mikirin putar duit di golong tentu sports hanya bagi kecil dr sekian besar tentu tumbuh ekonomi indonesia bukan hal fundamental betul yg kata prabowo walau dgn bhs yg sederhana tp mrpkan aspek fundamental ekonomi
7,positif,uasdifitnah keji balas di tps kerjasa ekonomi bilateral multilateral kita doakan di tps sambil dengarkan suara hati uasdifitnah keji balas di tps,uasdifitnah keji balas di tps kerjasa ekonomi bilateral multilateral kita doa di tps sambil dengar suara hati uasdifitnah keji balas di tps
8,netral,iya bener aa kita mantap kan pilihan ke pemimpin yg bs memberi solusi jokowi bukan yg menyalahkan pemimpin sebelumnya sbyudhoyono dismash sm mas bowo percuma koalisi klau mengantam tmn koalisi yg plg penting pilih pemimpin yg rajin ibadah wajib bisa ngaji,iya bener aa kita mantap kan pilih ke pimpin yg bs beri solusi jokowi bukan yg salah pimpin belum sbyudhoyono dismash sm mas bowo percuma koalisi klau mengantam tmn koalisi yg plg penting pilih pimpin yg rajin ibadah wajib bisa ngaji
10,positif,pilih orang baik pilih jelas islamnya pilih baju putih pilih pemimpin itu yg udh jelas banyak pencapaiannya nah ini dia pencapaian ekonomi selama pemerintahan jokowi coblos satu yuk kerja pasti,pilih orang baik pilih jelas islam pilih baju putih pilih pimpin itu yg udh jelas banyak capai nah ini dia capai ekonomi lama perintah jokowi coblos satu yuk kerja pasti
11,positif,calon presiden jokowi menjelaskan program kartu pra kerja akan memberikan insentif dalam kurun waktu tertentu bukan berarti memberikan gaji secara cuma cuma bagi masyarakat yang belum berpenghasilan jokowi kyai maruf,calon presiden jokowi jelas program kartu pra kerja akan beri insentif dalam kurun waktu tentu bukan arti beri gaji cara cuma cuma bagi masyarakat yang belum hasil jokowi kyai maruf
12,negatif,gak nginti lu to yunartowijaya dan si at abdillahtoha juga gak ngaca gak usah ngajarin sandi soal ekonomi dibanding jokowi,gak nginti lu to yunartowijaya dan si at abdillahtoha juga gak ngaca gak usah ngajarin sandi soal ekonomi banding jokowi
13,positif,menurut jokowi pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal petani sebagai produsen senang karena hasil kerjanya dihargai secara layak jokowi kyai maruf rakyat ingin jokowi menang,turut jokowi perintah selalu upaya jaga imbang agar harga pada posisi normal tani bagai produsen senang karena hasil kerja harga cara layak jokowi kyai maruf rakyat ingin jokowi menang
15,netral,mantulz sekali pak mengisi masa tenang dg umroh bersama kel tercinta istri anak pada ahirnya memang keluarga lah asset plg berharga sehat sll pakde,mantulz sekali pak isi masa tenang dg umroh sama kel cinta istri anak pada ahirnya memang keluarga lah asset plg harga sehat sll pakde
16,positif,pilih orang baik pilih jelas islamnya pilih baju putih pentingnya sisi industri kreatif dan inovatif di era industri global membuat jokowi tergerak untuk mengubah badan ekonomi kreatif bekraf menjadi sebuah kementerian coblos satu yuk kerja pasti,pilih orang baik pilih jelas islam pilih baju putih penting sisi industri kreatif dan inovatif di era industri global buat jokowi gerak untuk ubah badan ekonomi kreatif bekraf jadi buah menteri coblos satu yuk kerja pasti
